repo_name_with_owner,stars,total_pr,total_pr_reviews,total_repository_files,analysis_time,number_characters_description,number_participants,total_comments_pr,total_rows_added,total_rows_removed,grand_total_rows_added_and_removed,index
yangshun/tech-interview-handbook,109705,526,14,18,0.49527777777777776,18,2,0,852,589,32901,22
microsoft/PowerToys,104251,5125,111,31,171.37194444444444,1167,3,4,6680,6601,220539,23
f/awesome-chatgpt-prompts,103319,284,16,9,0.0022222222222222222,640,1,0,215,57,7160,24
facebook/create-react-app,101846,3788,2,30,0.1063888888888889,11,2,1,56544,24730,2410320,25
Genymobile/scrcpy,101759,383,129,25,16159.453333333333,867,3,11,3225,1434,115466,26
goldbergyoni/nodebestpractices,96267,918,50,19,256.75444444444446,0,2,1,2307,245,91033,27
microsoft/terminal,93437,4079,306,35,27.434166666666666,58,4,0,11165,13153,765751,28
denoland/deno,92882,12468,154,22,11.62,86,2,2,9180,1722,189073,29
ryanmcdermott/clean-code-javascript,89613,248,35,3,2.9541666666666666,52,2,1,1935,1911,95738,30
GrowingGit/GitHub-Chinese-Top-Charts,88563,15,1,4,0.02277777777777778,0,1,0,476600,476564,23966335,31
puppeteer/puppeteer,86739,5497,200,33,0.0016666666666666668,28,1,0,6467,5656,342013,32
PanJiaChen/vue-element-admin,86307,475,1,27,0.8713888888888889,0,2,5,598,387,28110,33
521xueweihan/HelloGitHub,84714,40,3,7,0.7275,0,2,0,18412,10712,550703,34
papers-we-love/papers-we-love,83238,509,1,76,8.317777777777778,0,3,2,173,155,7715,35
langchain-ai/langchain,82801,11209,69,19,345.90944444444443,210,2,0,7056,1529,315358,36
microsoft/Web-Dev-For-Beginners,81417,780,55,34,45.22472222222222,48,2,0,43166,38615,2001805,37
fatedier/frp,79562,844,8,25,0.11166666666666666,0,1,0,4015,4422,126941,38
gothinkster/realworld,78249,794,20,37,0.006111111111111111,11,1,0,42986,41845,2871781,39
tailwindlabs/tailwindcss,78234,2597,49,18,2.661388888888889,596,2,2,4248,26356,626425,40
iptv-org/iptv,78001,6841,1,17,1.1813888888888888,40,2,0,902,1106,60281,41
pytorch/pytorch,77716,81926,260,77,126.53222222222222,108,4,2,3718,3702,183001,42
tauri-apps/tauri,77173,4254,54,30,0.07444444444444444,739,2,0,3774,2894,115671,43
Hack-with-Github/Awesome-Hacking,77123,101,110,4,0.018333333333333333,53,2,1,71,31,2267,44
mtdvio/every-programmer-should-know,76769,142,20,3,504.11583333333334,0,2,1,593,79,4291,45
tensorflow/models,76585,3630,1,16,2.6269444444444443,0,2,1,3925,807,106193,46
sveltejs/svelte,76392,4684,19,23,0.4741666666666667,458,1,0,5256,2312,195645,47
opencv/opencv,75481,14709,1,19,29.254166666666666,0,2,0,4801,2242,246207,48
tonsky/FiraCode,75246,182,10,22,13.958333333333334,11,2,2,20805,17585,1780620,49
krahets/hello-algo,75015,932,318,14,4.575555555555556,395,2,1,111558,3505,1383028,50
florinpop17/app-ideas,74874,324,90,9,0.0725,61,2,0,214,95,9796,51
doocs/advanced-java,74213,118,16,16,0.18888888888888888,3,6,4,1173170,1161435,68904872,52
excalidraw/excalidraw,72672,4148,114,35,2.6155555555555554,334,3,6,54034,22926,3171452,53
massgravel/Microsoft-Activation-Scripts,71502,23,2,4,0.059722222222222225,0,1,0,10969,5987,221752,54
typicode/json-server,71139,300,1,15,36.51222222222222,0,1,0,707,549,33604,55
tiangolo/fastapi,70767,2918,21,18,1.736388888888889,73,2,2,2894,1470,99222,56
oven-sh/bun,70448,3315,85,39,9.894166666666667,288,2,0,4028,5539,311323,57
yt-dlp/yt-dlp,70343,2488,289,23,22.011111111111113,712,2,1,1968,961,77264,58
ChatGPTNextWeb/ChatGPT-Next-Web,67749,1656,16,27,1206.9297222222222,9,2,3,5384,1262,183191,59
thedaviddias/Front-End-Checklist,67422,299,21,8,3.359166666666667,32,2,1,25073,57623,1472092,60
base-org/node,67128,115,62,17,14.895833333333334,3231,2,5,15657,15512,825217,61
DopplerHQ/awesome-interview-questions,67065,209,1,5,2692.8308333333334,167,2,1,262,127,6137,62
microsoft/ML-For-Beginners,66844,469,91,34,26.500833333333333,376,2,0,43076,6975,601402,63
apple/swift,65846,53763,1,32,0.5911111111111111,295,2,0,3402,1540,139774,64
supabase/supabase,65718,9814,16,30,0.0019444444444444444,53,1,1,11725,8208,320199,65
CompVis/stable-diffusion,65306,74,18,13,0.06666666666666667,0,1,0,20229,425,167115,66
coder/code-server,65195,1826,217,29,4205.205,227,7,6,1064,756,61452,67
Developer-Y/cs-video-courses,64797,184,3,3,1452.591111111111,77,2,1,210,62,7396,68
